id,name,description,layer,entity_type,inception_date,dissolution_date,source_doc,confidence
tariff_of_abominations_1828,"Tariff of Abominations (1828)","A highly protectionist tariff that was vehemently opposed by Southern states as it raised the cost of imported goods they relied on.",Historical Layer,Legislation,1828-05-19,,major US tariff acts 20th century,1.0
compromise_tariff_of_1833,"Compromise Tariff of 1833","A legislative response to the Nullification Crisis, it gradually lowered the high rates of the Tariff of Abominations over several years.",Systemic Reform Layer,Legislation,1833-03-02,,major US tariff acts 20th century,1.0
morrill_tariff_1861,"Morrill Tariff (1861)","A sharp increase in tariff rates at the beginning of the Civil War, ostensibly to fund the war effort and protect Northern industries.",Historical Layer,Legislation,1861-03-02,,major US tariff acts 20th century,1.0
underwood_tariff_1913,"Underwood Tariff (1913)","A major reversal of protectionist policy, it substantially lowered average tariff rates from 40% to 26% and re-imposed a federal income tax.",Systemic Reform Layer,Legislation,1913-10-03,,major US tariff acts 20th century,1.0
protectionism,Protectionism,"The economic policy of restraining trade between states through methods such as tariffs on imported goods, intended to protect domestic industries from foreign competition.",Cognitive-Agentic Layer,Economic Ideology,,,,history of US protectionism,1.0
free_trade,Free Trade,"The economic policy where governments do not restrict imports from or exports to other countries, promoting international commerce.",Cognitive-Agentic Layer,Economic Ideology,,,,history of US free trade agreements,1.0
us_federal_revenue,U.S. Federal Revenue,"The income of the U.S. federal government. Before the 16th Amendment and the income tax, it was overwhelmingly dependent on customs duties from tariffs.",Market Condition Layer,Economic Indicator,,,,history of US federal revenue,1.0
sectional_conflict,Sectional Conflict (North vs. South),"The deep-seated economic, social, and political divide between the industrial Northern states and the agrarian Southern states in the 19th century.",Historical Layer,Historical Theme,,,,US sectional conflict history,1.0
northern_industrialists,Northern Industrialists,"The owners of factories and financial institutions in the Northern U.S. who strongly advocated for high tariffs to protect their nascent industries from European competition.",Institution Layer,Actor Group,,,,major US tariff acts 20th century,0.95
southern_agrarian_interests,Southern Agrarian Interests,"The landowners, planters, and farmers of the Southern U.S. who advocated for free trade to lower costs on imported goods and to facilitate the export of their agricultural products like cotton and tobacco.",Institution Layer,Actor Group,,,,major US tariff acts 20th century,0.95
nullification_crisis,Nullification Crisis (1832-33),"A major sectional political crisis during Andrew Jackson's presidency, which involved a confrontation between South Carolina and the federal government over the Tariff of Abominations.",Historical Layer,Political Crisis,1832-11-24,1833-03-15,major US tariff acts 20th century,1.0
fordney-mccumber_tariff_1922,Fordney-McCumber Tariff (1922),"A sharp turn towards protectionism in the post-WWI era, meant to protect US farms and factories from a flood of European imports.",Historical Layer,Legislation,1922-09-21,,major US tariff acts 20th century,1.0
smoot-hawley_tariff_act_1930,Smoot-Hawley Tariff Act (1930),"Raised U.S. tariffs on over 20,000 imported goods to record levels. It is widely blamed for worsening the severity of the Great Depression.",Historical Layer,Legislation,1930-06-17,,major US tariff acts 20th century,1.0
great_depression,Great Depression,"A severe worldwide economic depression that took place mostly during the 1930s, beginning in the United States.",Historical Layer,Economic Crisis,1929-10-29,1939-09-01,major US tariff acts 20th century,1.0
reciprocal_trade_agreements_act_1934,Reciprocal Trade Agreements Act (RTAA) (1934),"A reversal of Smoot-Hawley, it gave the U.S. President the power to negotiate bilateral, reciprocal trade agreements with other countries.",Systemic Reform Layer,Legislation,1934-06-12,,history of GATT trade rounds,1.0
gatt,General Agreement on Tariffs and Trade (GATT),"A legal agreement between many countries, whose overall purpose was to promote international trade by reducing or eliminating trade barriers such as tariffs or quotas. It was created in 1947 in the aftermath of WWII.",Systemic Reform Layer,Trade Agreement,1948-01-01,1994-12-31,history of GATT trade rounds,1.0
wto,World Trade Organization (WTO),"An intergovernmental organization that regulates and facilitates international trade. It was officially created on January 1, 1995, as the successor to GATT.",Institution Layer,International Body,1995-01-01,,creation of World Trade Organization,1.0
uruguay_round,Uruguay Round (1986-1994),"The 8th round of multilateral trade negotiations conducted within the framework of GATT. The round led to the creation of the WTO.",Systemic Reform Layer,Trade Negotiation,1986-09-01,1994-04-15,history of GATT trade rounds,1.0
trade_liberalization,Trade Liberalization,"The removal or reduction of restrictions or barriers on the free exchange of goods between nations. This was the guiding principle of the post-WWII era led by GATT.",Cognitive-Agentic Layer,Economic Policy,,,,history of GATT trade rounds,1.0
nafta,North American Free Trade Agreement (NAFTA),"A free trade agreement signed by Canada, Mexico, and the United States that created a trilateral trade bloc in North America.",Systemic Reform Layer,Trade Agreement,1994-01-01,2020-07-01,major free trade agreements US,1.0
us-china_trade_war,U.S.-China Trade War,"A period of escalating trade tensions between the United States and China, beginning in 2018, characterized by the imposition of tit-for-tat tariffs.",Historical Layer,Trade War,2018-07-06,,"US China trade war timeline tariffs",1.0
section_301_tariffs,Section 301 Tariffs (2018),"A key tool in the U.S.-China Trade War, these tariffs were imposed by the Trump administration on a wide range of Chinese goods, citing unfair trade practices.",Regulatory Layer,Tariff,2018-01-01,,"US China trade war timeline tariffs",1.0